1.197465857013507495e+01,8.351474842091922923e+00,9.113603405684337133e+00,5.741192384094185641e+00,2.734872002297434879e+00,3.756382664272547522e+00,2.510918373901408707e+00,2.338285675094182725e+00,4.883914839740682190e+00,4.810429106809334776e+00,2.448774117602934286e+00,2.264736588999122446e+00
1.199978108729566983e+01,8.127815109588720333e+00,8.887317900104187984e+00,5.481684468338319682e+00,2.740019029644344073e+00,3.588048349294405082e+00,2.610022328369716593e+00,2.373787263531532243e+00,4.796140221777362100e+00,4.929128517190616066e+00,2.451632159532202593e+00,2.480928327052374538e+00
1.189050712592266912e+01,7.853423597567498859e+00,8.401220352654984680e+00,5.163818163097674052e+00,2.398004169528667795e+00,3.322687847920927862e+00,2.674333703697297615e+00,2.372308623700570607e+00,4.882357012937492691e+00,5.120520271557317926e+00,2.700308034283641412e+00,2.619035566169711338e+00
1.162713552212964530e+01,7.721941936102639126e+00,8.119955514733003810e+00,4.987706057232963452e+00,2.183278050641423551e+00,3.237791052033251127e+00,2.681313574721931658e+00,2.505106679271566161e+00,4.973690548184237947e+00,5.266974742947068577e+00,2.653240246413453463e+00,2.536787232376444656e+00
1.185331474288216924e+01,7.899526191221049487e+00,8.295241329098715255e+00,4.977664437088465732e+00,2.163948357476328965e+00,3.407972388271570008e+00,2.590430430921284444e+00,2.393152123511064211e+00,4.913434003565785524e+00,5.094299669198531610e+00,2.561266176424037422e+00,2.522831273433133070e+00
1.209082626662782722e+01,8.148613867137326494e+00,8.627271544197425257e+00,5.239873767186495002e+00,2.497651538355833090e+00,3.695346316895498529e+00,2.425130650132321986e+00,2.252223170442785527e+00,4.760707151692812999e+00,4.856927130975499551e+00,2.286102260571119871e+00,2.267358884400467289e+00
1.209828472114118192e+01,8.262622271631043347e+00,8.791614294490589288e+00,5.432450277179396991e+00,2.631044198114073751e+00,3.882832028327040330e+00,2.375563155072459409e+00,2.269202546257320208e+00,4.837761967446922107e+00,4.673535252089765279e+00,2.259414399712578181e+00,2.219757716600242681e+00
1.192293578638516394e+01,8.246097519134499620e+00,8.760629346816228846e+00,5.279461534073089268e+00,2.541622865190289016e+00,3.908537643000581152e+00,2.324320560430962246e+00,2.316005947935292575e+00,5.009912159146551858e+00,4.709316819914764807e+00,2.323565922944950568e+00,2.202119698180578400e+00
1.152594484133358499e+01,7.961899177361402735e+00,8.559903249379765100e+00,5.242574096714208487e+00,2.185512413735527293e+00,3.741900327537311277e+00,2.232266845849532722e+00,2.418872868114328334e+00,5.188528087168335468e+00,4.939264251142090778e+00,2.380625188009039217e+00,2.376075759038548618e+00
1.143804532053942147e+01,7.717523960979941755e+00,8.325706361294322733e+00,5.303027514831027744e+00,2.024246496961606301e+00,3.642951620547106195e+00,2.362671921288681531e+00,2.448852804642856817e+00,5.241460197942765298e+00,4.996103704651408961e+00,2.168515975558961362e+00,2.493391453434336213e+00
